3	48	60	60	60	61	68
43	25	4	40	95	49	37
67	72	94	56	16	3	2
14	10	10	25	86	95	66
19	29	35	45	61	73	86
53	42	52	55	58	73	89
48	59	59	59	59	59	75
76	24	95	59	98	1	59
58	26	27	30	46	88	89
37	1	1	1	1	1	38
86	50	50	45	30	3	13
73	15	15	15	15	15	7
39	8	8	8	8	8	18
74	6	6	6	6	6	20
24	81	81	81	81	81	17
83	86	41	30	80	93	60
41	38	38	38	38	38	62
80	16	16	86	69	17	2
5	12	53	73	27	81	65
66	15	15	15	15	15	13
63	18	20	25	44	76	84
57	52	67	68	74	86	97
83	6	6	6	6	6	75
32	74	66	65	3	6	55
6	57	57	57	57	57	87
30	89	31	77	99	72	30
30	21	33	85	39	68	89
89	89	89	89	89	89	68
75	40	40	40	40	40	40
19	92	92	92	92	92	92
20	47	47	47	47	47	3
43	31	31	31	31	31	18
87	38	38	34	10	100	11
43	76	76	76	76	76	68
42	72	26	72	99	72	94
3	75	75	75	75	75	75
77	9	19	29	45	51	76
62	18	18	18	18	18	10
43	4	4	4	4	4	30
20	91	73	100	91	79	63
32	26	39	47	50	62	97
72	20	20	78	59	3	18
65	8	8	8	8	8	32
13	25	49	61	64	66	75
41	6	41	41	43	52	87
24	100	100	48	76	20	75
41	95	95	95	95	95	95
19	56	56	19	82	39	29
64	75	75	44	38	51	88
45	22	68	34	21	65	45
58	14	14	84	56	56	30
42	15	27	6	43	25	17
53	49	49	49	49	49	69
38	38	55	56	62	67	97
88	13	13	13	13	13	36
34	11	11	11	11	11	83
3	27	56	57	66	76	90
33	81	73	17	98	42	60
67	61	61	33	74	11	99
84	16	16	16	16	16	91
83	47	47	47	47	47	79
90	99	13	83	73	80	46
77	90	5	51	50	24	54
62	46	46	46	46	46	20
60	15	15	37	92	80	47
77	97	97	97	97	97	60
74	70	70	70	70	70	45
43	7	7	13	24	42	100
68	61	79	80	89	89	89
52	69	6	8	77	60	4
17	35	35	35	35	35	68
45	1	1	48	48	76	73
28	65	65	21	27	91	10
50	30	31	41	41	41	68
80	11	32	89	100	100	100
9	17	17	17	27	47	47
35	91	91	91	91	91	99
20	63	46	83	88	91	16
58	68	38	98	51	22	21
15	82	82	49	84	39	9
3	22	37	60	64	72	92
44	13	13	13	13	13	100
55	8	86	96	81	46	28
15	76	76	54	99	47	34
34	4	4	4	4	4	17
65	32	32	32	32	32	92
3	40	40	40	40	40	35
35	38	82	56	99	19	8
3	29	38	19	22	56	56
54	31	31	31	31	31	31
18	42	42	42	42	42	90
17	87	87	87	87	87	87
56	73	73	73	73	73	35
37	47	28	42	47	42	100
44	20	23	34	47	57	65
33	8	14	17	17	25	79
38	2	79	83	89	96	77
30	37	37	4	59	75	24
6	47	9	43	93	50	80
16	43	45	79	23	96	68
66	41	66	66	84	53	49
81	17	17	17	17	17	38
69	69	69	50	65	44	30
21	41	8	100	37	28	100
60	15	15	30	58	20	38
8	87	87	87	87	87	93
80	16	18	57	92	92	92
37	23	23	40	55	63	76
87	57	100	74	27	26	13
64	1	1	1	1	1	35
56	47	47	34	11	10	85
90	7	20	85	59	70	84
40	56	56	74	46	97	49
61	24	24	24	24	24	51
44	86	86	86	86	86	15
45	29	41	51	55	63	82
71	63	54	28	50	60	33
31	8	15	31	57	58	84
50	55	55	30	1	32	43
38	25	96	64	33	9	71
4	38	38	38	38	38	48
89	41	41	41	41	41	46
11	27	60	78	86	86	86
33	73	73	73	73	73	10
22	17	51	64	37	79	80
81	36	53	57	58	75	86
41	46	61	64	65	98	98
4	42	50	54	60	60	60
27	46	46	46	71	81	95
7	44	49	56	56	80	91
67	22	56	39	81	40	38
47	33	51	57	91	98	99
82	12	12	12	12	12	90
14	4	37	44	56	67	99
87	11	11	11	11	11	6
82	37	37	37	37	37	37
77	12	68	84	14	80	3
50	67	67	67	67	67	14
72	54	54	54	54	54	62
77	21	21	21	21	21	9
80	95	95	95	95	95	14
74	93	93	93	93	93	84
70	5	5	5	5	5	1
55	22	52	60	81	84	93
83	83	47	39	46	20	80
87	78	78	25	28	64	55
63	41	52	61	62	81	86
85	60	60	60	75	80	88
74	15	16	64	69	80	92
76	96	96	83	70	100	77
36	99	15	43	97	3	57
23	68	68	68	68	68	68
71	90	90	90	90	90	61
44	45	45	45	45	45	99
23	28	28	28	28	28	43
85	5	5	25	47	52	85
33	56	56	56	56	56	34
2	94	94	94	94	94	94
34	26	26	60	31	43	70
86	95	9	69	100	41	36
32	74	74	74	74	74	100
50	3	10	58	75	75	75
88	68	68	68	68	68	86
30	26	30	2	67	75	8
30	59	78	81	23	63	87
80	17	35	81	42	93	5
47	77	77	77	77	77	20
75	79	98	71	57	62	70
40	2	2	2	2	2	45
89	63	63	63	63	63	74
15	62	62	92	95	98	80
13	19	80	80	80	87	98
90	21	49	49	49	56	85
70	23	23	32	33	84	94
49	49	55	56	58	60	65
65	86	86	86	86	86	46
32	76	76	37	54	36	78
45	41	100	29	95	75	95
42	88	88	88	88	88	66
36	2	2	36	5	55	31
52	5	5	5	5	5	87
49	43	66	77	82	87	87
48	71	71	71	71	71	71
32	45	45	45	45	45	81
55	14	14	14	14	14	13
80	46	46	46	46	46	14
72	43	58	18	53	42	77
76	86	86	70	3	2	53
76	57	67	67	67	75	87
54	77	77	77	77	77	77
6	10	10	10	27	56	70
37	48	52	52	52	67	78
24	45	45	45	45	45	52
25	6	6	6	6	6	34
29	55	55	37	91	41	17
49	28	28	80	44	42	72
67	33	33	50	62	80	81
68	34	34	94	91	18	49
25	24	24	33	74	6	23
71	38	38	38	38	38	29
37	32	34	48	50	57	78
74	9	9	9	9	9	25
76	21	22	22	26	38	96
39	23	23	23	23	23	69
16	72	72	72	72	72	76
79	2	65	70	44	11	90
51	15	15	15	15	15	61
14	95	95	39	37	11	88
85	41	41	41	41	41	41
51	26	38	59	98	98	98
63	90	90	90	90	90	86
45	12	59	17	2	97	40
83	66	66	10	28	53	8
78	20	20	20	20	20	94
71	41	54	54	54	58	61
70	22	22	22	22	22	72
70	64	64	64	64	64	78
70	26	26	26	26	26	76
